ID,IDNum,Site,Date,Genus,Species,Phorid,Crithidia,Apicystis,CBPV,DWV_KV_VDV,ABPV_KBV_IAPV,BQCV,SBPV,SBV,B-actin
A222,222,Aptos,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A223,223,Aptos,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A224,224,Aptos,6/26/15,Apis,mellifera,0,1,1,,,,,,,
A225,225,Aptos,6/26/15,Apis,mellifera,1,0,0,,,,,,,
A226,226,Aptos,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A227,227,Aptos,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A228,228,Aptos,6/26/15,Apis,mellifera,0,1,0,0,0,0,0,0,0,1
A229,229,Aptos,6/26/15,Apis,mellifera,0,0,0,0,0,0,1,0,0,1
A230,230,Aptos,6/26/15,Apis,mellifera,0,1,0,1,0,0,0,0,0,1
A287,287,Aptos,07/01/2015,Apis,mellifera,0,1,0,,,,,,,
A289,289,Aptos,07/01/2015,Apis,mellifera,0,0,1,,,,,,,
A290,290,Aptos,07/01/2015,Apis,mellifera,1,0,0,,,,,,,
A291,291,Aptos,07/01/2015,Apis,mellifera,0,0,1,,,,,,,
A292,292,Aptos,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A293,293,Aptos,07/01/2015,Apis,mellifera,0,1,0,,,,,,,
A294,294,Aptos,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A295,295,Aptos,07/01/2015,Apis,mellifera,0,0,0,1,0,0,0,1,0,1
A296,296,Aptos,07/01/2015,Apis,mellifera,0,0,1,1,0,0,0,1,1,1
A405,405,Aptos,07/09/2015,Apis,mellifera,0,1,0,0,1,0,1,1,1,1
A406,406,Aptos,07/09/2015,Apis,mellifera,0,0,0,0,0,1,1,1,1,1
A407,407,Aptos,07/09/2015,Apis,mellifera,0,0,0,1,0,0,1,1,1,1
A408,408,Aptos,07/09/2015,Apis,mellifera,0,0,1,0,1,0,0,1,1,1
A409,409,Aptos,07/09/2015,Apis,mellifera,0,0,0,0,0,1,1,0,1,1
A410,410,Aptos,07/09/2015,Apis,mellifera,0,0,1,,,,,,,
A411,411,Aptos,07/09/2015,Apis,mellifera,0,1,0,,,,,,,
A412,412,Aptos,07/09/2015,Apis,mellifera,0,0,1,1,0,0,0,1,0,1
A413,413,Aptos,07/09/2015,Apis,mellifera,0,1,0,1,0,0,0,1,0,1
A95,95,Beach,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A96,96,Beach,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A97,97,Beach,07/01/2015,Apis,mellifera,0,0,0,1,0,0,0,0,0,1
A98,98,Beach,07/01/2015,Apis,mellifera,0,1,0,,,,,,,
A99,99,Beach,07/01/2015,Apis,mellifera,0,1,1,,,,,,,
A100,100,Beach,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A101,101,Beach,07/01/2015,Apis,mellifera,0,0,0,1,0,0,0,0,0,1
A102,102,Beach,07/01/2015,Apis,mellifera,0,1,1,0,0,0,0,0,1,1
A103,103,Beach,07/01/2015,Apis,mellifera,0,0,0,,,,,,,
A378,378,Beach,07/09/2015,Apis,mellifera,0,1,0,,,,,,,
A379,379,Beach,07/09/2015,Apis,mellifera,0,0,0,0,0,0,0,1,1,1
A380,380,Beach,07/09/2015,Apis,mellifera,0,1,0,1,1,1,0,1,0,1
A381,381,Beach,07/09/2015,Apis,mellifera,0,0,1,1,0,0,0,1,1,1
A382,382,Beach,07/09/2015,Apis,mellifera,0,1,0,1,0,1,0,1,1,1
A383,383,Beach,07/09/2015,Apis,mellifera,0,0,0,1,0,0,0,1,1,1
A384,384,Beach,07/09/2015,Apis,mellifera,0,1,1,1,0,1,0,1,1,1
A385,385,Beach,07/09/2015,Apis,mellifera,0,1,0,0,1,0,1,0,0,1
A471,471,Beach,6/26/15,Apis,mellifera,0,0,0,,,,,,,
A472,472,Beach,6/26/15,Apis,mellifera,1,0,0,1,0,0,1,0,1,1
A473,473,Beach,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A474,474,Beach,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A475,475,Beach,6/26/15,Apis,mellifera,1,1,0,1,0,0,0,0,0,1
A476,476,Beach,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A477,477,Beach,6/26/15,Apis,mellifera,0,0,0,,,,,,,
A478,478,Beach,6/26/15,Apis,mellifera,0,1,0,0,0,1,0,0,0,1
A493,493,Beach,6/26/15,Apis,mellifera,0,0,0,,,,,,,
A494,494,Beach,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A495,495,Beach,6/26/15,Apis,mellifera,0,1,1,0,0,0,1,0,0,1
A496,496,Beach,6/26/15,Apis,mellifera,0,0,0,0,0,0,0,0,0,1
A497,497,Beach,6/26/15,Apis,mellifera,0,1,0,,,,,,,
A498,498,Beach,6/26/15,Apis,mellifera,0,0,1,,,,,,,
A499,499,Beach,07/01/2015,Apis,mellifera,0,0,1,,,,,,,
A184,184,Berryessa,6/30/15,Apis,mellifera,0,1,1,,,,,,,
A185,185,Berryessa,6/30/15,Apis,mellifera,0,1,1,,,,,,,
A186,186,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A187,187,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A188,188,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A189,189,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A190,190,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A191,191,Berryessa,6/30/15,Apis,mellifera,0,1,1,,,,,,,
A192,192,Berryessa,6/30/15,Apis,mellifera,0,1,1,,,,,,,
A193,193,Berryessa,6/30/15,Apis,mellifera,0,1,0,,,,,,,
A269,269,Berryessa,6/24/15,Apis,mellifera,0,1,1,0,0,1,0,0,0,1
A270,270,Berryessa,6/24/15,Apis,mellifera,0,0,1,1,0,0,0,1,1,1
A271,271,Berryessa,6/24/15,Apis,mellifera,0,1,0,1,0,1,0,1,1,1
A272,272,Berryessa,6/24/15,Apis,mellifera,0,0,1,0,0,0,0,1,1,1
A273,273,Berryessa,6/24/15,Apis,mellifera,0,1,0,0,0,1,0,1,1,1
A274,274,Berryessa,6/24/15,Apis,mellifera,0,1,0,0,1,1,0,1,1,1
